0 0 0 0 0.625
0 0 0 1 0.0893550334194
0 0 0 2 0.0439594494961
0 0 1 0 0.0893550334194
0 0 1 1 0.0219478737997
0 0 1 2 0.0112229184983
0 0 2 0 0.0439594494961
0 0 2 1 0.0112229184983
0 0 2 2 0.00576782226562
0 1 0 0 0.0893550334194
0 1 0 1 0.20987654321
0 1 0 2 0.0505264769128
0 1 1 0 0.0219478737997
0 1 1 1 0.0085816574096
0 1 1 2 0.00454284687545
0 1 2 0 0.0112229184983
0 1 2 1 0.00393595092568
0 1 2 2 0.00210903883463
0 2 0 0 0.0439594494961
0 2 0 1 0.0505264769128
0 2 0 2 0.0994873046875
0 2 1 0 0.0112229184983
0 2 1 1 0.00454284687545
0 2 1 2 0.00242885317843
0 2 2 0 0.00576782226562
0 2 2 1 0.00210903883463
0 2 2 2 0.00113113192885
1 0 0 0 0.0893550334194
1 0 0 1 0.0219478737997
1 0 0 2 0.0112229184983
1 0 1 0 0.20987654321
1 0 1 1 0.0085816574096
1 0 1 2 0.00393595092568
1 0 2 0 0.0505264769128
1 0 2 1 0.00454284687545
1 0 2 2 0.00210903883463
1 1 0 0 0.0219478737997
1 1 0 1 0.0085816574096
1 1 0 2 0.00454284687545
1 1 1 0 0.0085816574096
1 1 1 1 0.150390625
1 1 1 2 0.0214670564111
1 1 2 0 0.00454284687545
1 1 2 1 0.0214670564111
1 1 2 2 0.0074760192
1 2 0 0 0.0112229184983
1 2 0 1 0.00454284687545
1 2 0 2 0.00242885317843
1 2 1 0 0.00393595092568
1 2 1 1 0.0214670564111
1 2 1 2 0.08411392
1 2 2 0 0.00210903883463
1 2 2 1 0.0074760192
1 2 2 2 0.00464729656462
2 0 0 0 0.0439594494961
2 0 0 1 0.0112229184983
2 0 0 2 0.00576782226562
2 0 1 0 0.0505264769128
2 0 1 1 0.00454284687545
2 0 1 2 0.00210903883463
2 0 2 0 0.0994873046875
2 0 2 1 0.00242885317843
2 0 2 2 0.00113113192885
2 1 0 0 0.0112229184983
2 1 0 1 0.00393595092568
2 1 0 2 0.00210903883463
2 1 1 0 0.00454284687545
2 1 1 1 0.0214670564111
2 1 1 2 0.0074760192
2 1 2 0 0.00242885317843
2 1 2 1 0.08411392
2 1 2 2 0.00464729656462
2 2 0 0 0.00576782226562
2 2 0 1 0.00210903883463
2 2 0 2 0.00113113192885
2 2 1 0 0.00210903883463
2 2 1 1 0.0074760192
2 2 1 2 0.00464729656462
2 2 2 0 0.00113113192885
2 2 2 1 0.00464729656462
2 2 2 2 0.06640625
