   3.548919038553e-01   3.500607750734e-01   3.010396877000e-01   2.614973473525e-01   2.614973473525e-01   3.010396877000e-01   3.500607750734e-01   3.548919038553e-01   2.903212761465e-01   1.940992580404e-01
   3.144797309204e-01   3.131498751412e-01   2.742463002510e-01   2.420044194840e-01   2.420044194840e-01   2.742463002510e-01   3.131498751412e-01   3.144797309204e-01   2.581206280851e-01   1.752762836104e-01
   2.269319518629e-01   2.318722933105e-01   2.131489372348e-01   1.958952971008e-01   1.958952971008e-01   2.131489372348e-01   2.318722933105e-01   2.269319518629e-01   1.880127526547e-01   1.331921213072e-01
   1.463002174449e-01   1.545286256548e-01   1.508787333452e-01   1.455159077121e-01   1.455159077121e-01   1.508787333452e-01   1.545286256548e-01   1.463002174449e-01   1.227885550295e-01   9.191324333914e-02
   9.272597122535e-02   1.006918152100e-01   1.032719411788e-01   1.034194562318e-01   1.034194562318e-01   1.032719411788e-01   1.006918152100e-01   9.272597122535e-02   7.881186457507e-02   6.192410090803e-02
   6.015433430613e-02   6.629255570693e-02   6.985851474973e-02   7.139051280728e-02   7.139051280728e-02   6.985851474973e-02   6.629255570693e-02   6.015433430613e-02   5.162734755288e-02   4.185202213894e-02
   3.938495487426e-02   4.357252265114e-02   4.636240003603e-02   4.773420142905e-02   4.773420142905e-02   4.636240003603e-02   4.357252265114e-02   3.938495487426e-02   3.405049705778e-02   2.808918071613e-02
   2.542815829564e-02   2.808373148987e-02   2.991748640783e-02   3.084708950535e-02   3.084708950535e-02   2.991748640783e-02   2.808373148987e-02   2.542815829564e-02   2.212918251666e-02   1.846519104357e-02
   1.607534354465e-02   1.768515450766e-02   1.880616955717e-02   1.937860028945e-02   1.937860028945e-02   1.880616955717e-02   1.768515450766e-02   1.607534354465e-02   1.408573150866e-02   1.187357392202e-02
   1.001598752032e-02   1.096778229673e-02   1.163206859168e-02   1.197205787363e-02   1.197205787363e-02   1.163206859168e-02   1.096778229673e-02   1.001598752032e-02   8.840072883977e-03   7.528702997405e-03
